"Time","Average alt","Bucket Script","Average vel_v"
1735170630000,14370.624331351351,5.0672554894894954,4.82963963963964
1735170660000,14512.065451397058,4.714704001523569,4.774485294117647
1735170690000,14646.571839154929,4.483546258595682,4.409507042253521
1735170720000,14783.438886111111,4.562234898539403,4.7001388888888895
1735170750000,14908.778783181819,4.177996569023587,4.3896969696969705
1735170780000,15039.820792079207,4.368066963246262,4.26039603960396
1735170810000,15173.887096774193,4.468876823166223,4.396935483870968
1735170840000,15310.543902439023,4.555226855494341,4.710487804878048
1735170870000,15451.80487804878,4.7086991869919075,4.836585365853658
1735170900000,15591.503571428571,4.65662311265969,4.767678571428571
1735170930000,15734.436923076923,4.764445054945039,4.888923076923077
1735170960000,15875.24802992126,4.693703561477923,4.750866141732284
1735170990000,16015.930367405064,4.689411249460136,4.713860759493671
1735171020000,16154.839644942529,4.630309251248824,4.596724137931035
1735171050000,16281.63644493827,4.22655999985806,4.2720370370370375
1735171080000,16416.773040224718,4.504553176214904,4.193033707865169
1735171110000,16548.53095547619,4.391930508382454,4.761587301587302
1735171140000,16690.97324767606,4.748076406662221,4.404929577464789
1735171170000,16819.571525069445,4.2866092464462175,4.59625
1735171200000,16956.877383018866,4.576861931647363,4.706100628930818
1735171230000,17100.148980201342,4.775719906082546,4.773221476510067
1735171260000,17252.72170026316,5.085757335393889,5.3110526315789475
1735171290000,17406.262132287582,5.118014400814112,4.981307189542483
1735171320000,17557.786988972603,5.05082855616735,4.970753424657534
1735171350000,17697.898560285714,4.67038571043704,4.753142857142857
1735171380000,17831.9075905303,4.466967674819534,4.518863636363636
1735171410000,17969.80000619048,4.596413855339294,4.656111111111111
1735171440000,18107.285360615384,4.582845147496846,4.591615384615384
1735171470000,18242.91239403101,4.5209011138541735,4.58937984496124
1735171500000,18394.633312533333,5.057363950077463,4.968333333333334
1735171530000,18540.480244506172,4.861564399094641,5.087469135802469
1735171560000,18699.060914437872,5.286022331056666,5.108579881656805
1735171590000,18845.21096543956,4.871668366722952,4.888186813186813
1735171620000,18987.17612298913,4.732171918319,4.895326086956522
1735171650000,19134.365061420765,4.9062979477211535,4.735191256830601
1735171680000,19273.759865581396,4.64649347202103,4.644883720930232
1735171710000,19415.218646506026,4.7152926974876515,4.76289156626506
1735171740000,19558.81435724551,4.786523691316082,4.8053892215568865
1735171770000,19702.305359464284,4.783033407292533,4.835952380952381
1735171800000,19848.13741855615,4.861068636395552,5.0164171122994645
1735171830000,19994.080641931818,4.864774112522233,4.756818181818182
1735171860000,20142.98934449704,4.96362341884075,4.96698224852071
1735171890000,20305.371801411766,5.412748563824183,5.3599411764705875
1735171920000,20459.79413051948,5.147410970257139,5.136623376623376
1735171950000,20624.48424478788,5.489670475613336,5.634848484848485
1735171980000,20796.9660312,5.749392880404048,5.646866666666667
1735172010000,20946.959535632912,4.999783481097014,5.137278481012658
1735172040000,21113.42806304878,5.548950913862305,5.426951219512195
1735172070000,21274.69551032051,5.37558157572433,5.008397435897436
1735172100000,21422.35382625731,4.921943864559944,4.9323976608187134
1735172130000,21568.816867267444,4.882101367004482,4.5643604651162795
1735172160000,21708.962093629034,4.671507545386339,4.944354838709677
1735172190000,21871.307246727272,5.411505103274612,5.293575757575758
1735172220000,22036.964306959064,5.521902007726385,5.545380116959064
1735172250000,22209.603736792455,5.754647661113025,5.755094339622642
1735172280000,22393.33932517857,6.1245196128705475,6.060238095238096
1735172310000,22574.458919222223,6.037319801455063,6.239222222222222
